"Supplemental Table 1: DogFiler multi-breed database (see Wictum et al. Developmental validation of DogFiler a novel multiplex for canine DNA profiling in forensic casework Forensic Sci. Int. Genet. (2012) http://dx.doi.org/10.1016/j.fsigen.2012.07.001)"																																		
	Breed	VGL0760		VGL0910		VGL1063		VGL1165		VGL1541		VGL1606		VGL1828		VGL2009		VGL2136		VGL2409		VGL2918		VGL3008		VGL3112		VGL3235		VGL3438				
1	Affenpinscher 	12	22.2	19.1	20.1	20	20	26	26	18	20	15	18	21	21	13	13	8	8	17	18	12	12	18	18	12	13	17	18	15	17			
2	Afghan Hound 	21.2	22.2	17.1	17.1	13	13	28	28	16	16	13	16	20.3	20.3	13	13	8	11	16	18	12	14	15	15	16	17	17	17	13	13			
3	Afghan Hound 	21.2	21.2	17.1	20.1	13	16	27	28	16	16	13	19	19	20.3	13	14	11	15	18	20	12	12	15	15	15	16	14	14	13	14			
4	Airedale Terrier	14	21.2	21.1	21.1	14	19	17	28	20	22	16	20	17	18	11	13	10	14	16	18	13	21.3	20	20	12	12	16	16	21	21			
5	Airedale Terrier	14	14	12	19.1	18	19	28	33	15	23	17	19	16	18	13	13	10	17	17	19	14	19.3	12	20	15	16	14	17	12	21			
6	Airedale Terrier	19.2	22.2	21.1	22.1	14	14	28	30	16	20	17	20	17	17	11	13	10	13	16	16	13	17.3	18	20	12	13	16	18	15	21			
7	Airedale Terrier	19.2	21.2	17.1	20.1	14	15	28	29	20	20	16	16	17	19	13	13	14	14	17	17	13	14	18	20	12	13	16	16	21	21			
8	Airedale Terrier	14	21.2	22.1	22.1	14	19	28	28	20	20	16	16	17	19	13	15	13	14	17	17	12	17.3	20	20	12	12	14	16	21	22			
9	Airedale Terrier	19.2	20.2	17.1	20.1	14	19	28	30	15	21	16	16	19	19	11	13	10	14	16	17	13	21.3	18	18	11	12	14	16	15	20			
10	Airedale Terrier	19.2	19.2	20.1	20.1	8	19	28	28	20	20	18	18	19	19	13	13	13	14	16	17	12	13	17	20	12	13	14	14	15	15			
11	Airedale Terrier	19.2	19.2	22	22	14	19	28	28	20	20	17	21	19	19	13	15	13	13	16	17	12	13	18	20	11	13	16	16	15	22			
12	Airedale Terrier	14	19.2	20.1	22.1	14	14	28	28	20	20	16	18	19	19	13	13	14	14	16	17	13	21.3	18	20	12	12	14	16	15	21			
13	Airedale Terrier	19.2	22.2	21.1	22.1	14	19	28	28	20	20	16	17	19	19	13	13	13	14	16	17	12	14	18	18	12	13	16	16	15	21			
14	Airedale Terrier	19.2	21.2	17.1	20.1	14	21	28	29	20	20	17	20	19	19	13	13	14	14	16	16	13	21.3	19	20	11	13	16	16	15	15			
15	Airedale Terrier	19.2	20.2	20.1	22.1	14	14	26	28	21	21	17	20	19	19	11	11	10	14	16	17	12	21.3	18	20	11	12	14	14	15	15			
16	Airedale Terrier	19.2	20.2	19	21.1	14	19	28	28	18	21	18	19	17	19	13	13	14	14	16	16	12	21.3	17	18	11	13	14	14	15	15			
17	Airedale Terrier	19.2	21.2	20.1	20.1	14	21	28	28	20	21	20	20	19	19	11	15	13	14	16	17	14	21.3	18	20	11	12	16	16	15	15			
18	Airedale Terrier	19.2	20.2	17.1	21.1	14	14	28	28	21	21	17	18	19	19	11	13	10	14	16	16	12	14	18	19	12	12	16	16	15	22			
19	Akbash Dog 	14	22.2	16.1	19.1	15	18	27	31	16	18	16	17	16	21	13	15	14	15	17	19	18.3	19.3	16	17	12	15	17	17	14	15			
20	Akbash Dog 	20.2	20.2	17.1	19.1	13	17	25	27	19	21	17	19	16	20	12	13	8	13	15	18	13	19.3	16	19	13	16	14	19	13	15			
21	Akita	14	14	18.1	20.1	13	13	19	26	18	19	16	19	18	19	12	15	14	14	15	16	13	17.3	14	17	13	13	14	14	15	17			
